Province,Accommodation,Category/ranking,Email,Tel,Fax,Address
Agadir,Al Mountassir (Ex Aladin,1*,h.almountassir@menara.ma,028/84-32-28 028//84-30-74,028/84-60-71 028/84-03-96,Rue de la Jeunesse
Agadir,Ayour,1*,ayour.hotel@hotmail.com,028/84-49-02 028/82-49-76,028/84-24-74,Rue de l'Entraire Talborjt 80000
Agadir,Jamal,1*,,028/84-23-46 028/84-23-86,028/84-43-67,Av. Hassan II
Agadir,Littoral,1*,,028/31-47-26 028/31-43-54,028/31-34-57,km 12 Route d'Essaouira BP.80 Tamraght
Agadir,Palmiers,1*,hotellespalmiers@caramail.com,028-84-37-19/028-82-25-04,028-82-25-80/028-82-25-85,Av. Prince Héritier Sidi Med.
Agadir,Petite Suède,1*,,028/84.07.79,028/84.00.57,Angle Av.Hassan II & Géneral Kettani
Agadir,Talborjt,1*,talborjthotel@menara.ma,028/84-03-86 028/84-57-82,028/84-03-96,Rue de l'Entraide (NT)
Agadir,5parties du monde,2*,,028/84-54-81 028/84-25-04,028/84-25-04,Av. Hassan II
Agadir,Aferni,2*,hotelahlen@yahoo.fr,028/84-07-30,028/84-03-30/84-05-62,"12,Av. Général Kettani."
Agadir,Al hamra,2*,,0528 21 31 48  ,0528 21 81 47 ,33 Av Abderrahim Boubid 
Agadir,Bahia,2*,,028/82-27-24 028/82-39-54,028/82-45-15,Rue Mehdi Ben Toumert Talborjt
Agadir,Karam,2*,,028/84-42-49/84-10-30,028/84-12-34,"10, place de la Foire BP. 694"
Agadir,La tour du sud ex de Pa,2*,,028/82-26-94/48/46,028/82-48-06,57 Av. Président Kennedy Talborjt.
Agadir,Mabrouk,2*,hmabrouk@iam.net.ma,028/82-87-01/02 028/82-63-03,028/84-52-86 028/82-16-50,Bd. 20 Aout Secteur Touristique & Balnéaire 80000
Agadir,Marjan,2*,contact@hotel-marjane.com,028/22-62-19 028/22-62-17,028/22-62-40,Charii Abderrahim Bouabid
Agadir,Miramar,2*,,028/84-07-70,028/84-87-84,Bd. Med. V
Agadir,Najib,2*,hotelnajib@menara.ma,028/23.28.28,028/23-14-44,Bd. Hassan 1er cité Al Massira
Agadir,Royal,2*,royal@iam.net.ma,028/84-06-75 028/84-05-54,028/84-05-02,Bd. Med. V
Agadir,Royal lynx,2*,,,,
Agadir,Ryad karam,2*,,028/22-98-04 à 11,028/21-97-84,Lot G II Sonaba Agadir
